t,r
-200,18.52
-190,22.83
-180,27.1
-170,31.34
-160,35.54
-150,39.72
-140,43.88
-130,48
-120,52.11
-110,56.19
-100,60.26
-90,64.3
-80,68.33
-70,72.33
-60,76.33
-50,80.31
-40,84.27
-30,88.22
-20,92.16
-10,96.09
0,100
10,103.9
20,107.79
30,111.67
40,115.54
50,119.4
60,123.24
70,127.08
80,130.9
90,134.71
100,138.51
110,142.29
120,146.07
130,149.83
140,153.58
150,157.33
160,161.05
170,164.77
180,168.48
190,172.17
200,175.86
210,179.53
220,183.19
230,186.84
240,190.47
250,194.1
260,197.71
270,201.31
280,204.9
290,208.48
300,212.05
310,215.61
320,219.15
330,222.68
340,226.21
350,229.72
360,233.21
370,236.7
380,240.18
390,243.64
400,247.09
410,250.53
420,253.96
430,257.38
440,260.78
450,264.18
460,267.56
470,270.93
480,274.29
490,277.64
500,280.98
510,284.3
520,287.62
530,290.92
540,294.21
550,297.49
560,300.75
570,304.01
580,307.25
590,310.49
600,313.71
610,316.92
620,320.12
630,323.3
640,326.48
650,329.64
660,332.79
670,335.93
680,339.06
690,342.18
700,345.28
710,348.38
720,351.46
730,354.53
740,357.59
750,360.64
760,363.67
770,366.7
780,369.71
790,372.71
800,375.7
810,378.68
820,381.65
830,384.6
840,387.55
850,390.48
